epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,32265,0.91298,1.0325,1.1335,0.49057,0.28235,0.26177,0.15456,1.42492,2.61589,1.34544,0.00274,0.00274,0.00274
112,32558.5,0.89367,1.01205,1.11804,0.48793,0.28602,0.26096,0.15439,1.42393,2.60863,1.3446,0.002674,0.002674,0.002674
113,32851.6,0.89797,1.02007,1.12073,0.48707,0.29207,0.26159,0.1546,1.42368,2.59687,1.3445,0.002608,0.002608,0.002608
114,33141.4,0.88506,1.00296,1.11719,0.4878,0.29287,0.26204,0.15462,1.42326,2.58503,1.34373,0.002542,0.002542,0.002542
115,33429.5,0.89298,1.00915,1.11839,0.48495,0.29789,0.26051,0.15427,1.42293,2.58169,1.34358,0.002476,0.002476,0.002476
116,33723.4,0.89126,0.99806,1.11823,0.48406,0.29769,0.25922,0.15443,1.422,2.58264,1.34336,0.00241,0.00241,0.00241
117,34012.5,0.89283,1.00827,1.12188,0.48433,0.29606,0.2599,0.15454,1.42244,2.57643,1.34413,0.002344,0.002344,0.002344
118,34303.5,0.88721,1.00613,1.11347,0.47623,0.29459,0.2584,0.1539,1.42281,2.57484,1.34472,0.002278,0.002278,0.002278
119,34593,0.88095,1.00665,1.11789,0.46723,0.29258,0.25688,0.15361,1.42231,2.56718,1.34459,0.002212,0.002212,0.002212
120,34882.7,0.87735,0.98522,1.11358,0.47054,0.29041,0.25866,0.15327,1.42152,2.56579,1.34429,0.002146,0.002146,0.002146
121,35174.4,0.87078,0.9686,1.10998,0.47213,0.28995,0.25765,0.15292,1.42126,2.5663,1.34374,0.00208,0.00208,0.00208
122,35468.6,0.87471,0.97997,1.1094,0.4708,0.28635,0.25806,0.15253,1.42169,2.56939,1.34397,0.002014,0.002014,0.002014
123,35760.2,0.85877,0.96014,1.10799,0.47653,0.28116,0.25547,0.15144,1.42106,2.57131,1.3433,0.001948,0.001948,0.001948
124,36057,0.87265,0.97384,1.10817,0.47707,0.28413,0.25785,0.15171,1.4207,2.57191,1.34284,0.001882,0.001882,0.001882
125,36350.1,0.86904,0.97305,1.11032,0.476,0.28327,0.25851,0.15205,1.42014,2.569,1.34337,0.001816,0.001816,0.001816
126,36641.6,0.88336,0.97863,1.11798,0.48465,0.27656,0.25833,0.15209,1.42035,2.56652,1.34381,0.00175,0.00175,0.00175
127,36937.7,0.86272,0.96389,1.10988,0.48762,0.27675,0.25841,0.15195,1.42106,2.56284,1.34423,0.001684,0.001684,0.001684
128,37230.2,0.85685,0.94186,1.09865,0.48729,0.28371,0.2582,0.15217,1.42086,2.56142,1.34384,0.001618,0.001618,0.001618
129,37526.1,0.85259,0.95314,1.10422,0.4909,0.28307,0.25808,0.15224,1.42056,2.55964,1.34413,0.001552,0.001552,0.001552
130,37821.5,0.86106,0.95382,1.10322,0.48373,0.28395,0.25959,0.15251,1.42081,2.55702,1.34448,0.001486,0.001486,0.001486
131,38117,0.85713,0.94798,1.10533,0.48911,0.28322,0.259,0.1523,1.42093,2.55378,1.34475,0.00142,0.00142,0.00142
132,38411.9,0.86161,0.94917,1.10809,0.48487,0.28399,0.25913,0.15212,1.42042,2.54864,1.34473,0.001354,0.001354,0.001354
133,38703,0.84952,0.93626,1.1013,0.48485,0.28397,0.25895,0.15218,1.42083,2.54517,1.34525,0.001288,0.001288,0.001288
134,38998.7,0.85247,0.94211,1.10295,0.48508,0.27953,0.25644,0.1518,1.42222,2.53967,1.34568,0.001222,0.001222,0.001222
135,39293.7,0.84342,0.92843,1.09919,0.48667,0.2792,0.25629,0.15178,1.42229,2.53512,1.34611,0.001156,0.001156,0.001156
136,39591.5,0.8459,0.93265,1.09937,0.48733,0.27948,0.25653,0.15172,1.42282,2.53092,1.34627,0.00109,0.00109,0.00109
137,39887.7,0.83928,0.91934,1.09553,0.47847,0.28095,0.25584,0.15166,1.42228,2.52987,1.34606,0.001024,0.001024,0.001024
138,40178.5,0.85246,0.93432,1.10052,0.47225,0.28148,0.25588,0.15183,1.42151,2.53013,1.34551,0.000958,0.000958,0.000958
139,40469.8,0.83893,0.91379,1.09464,0.47223,0.28136,0.25611,0.15213,1.42151,2.52677,1.34557,0.000892,0.000892,0.000892
140,40760.2,0.83726,0.91536,1.08938,0.47668,0.28083,0.25605,0.15192,1.42114,2.52372,1.34563,0.000826,0.000826,0.000826
141,41046.8,0.85838,0.87997,1.12224,0.47846,0.28023,0.25605,0.15218,1.42128,2.51933,1.34588,0.00076,0.00076,0.00076
142,41331,0.84705,0.86341,1.11628,0.47824,0.28041,0.25709,0.15273,1.42104,2.51637,1.34552,0.000694,0.000694,0.000694
143,41616.2,0.84407,0.85602,1.11541,0.47427,0.28092,0.25694,0.15281,1.42071,2.51143,1.34544,0.000628,0.000628,0.000628
144,41901.9,0.83972,0.84996,1.11872,0.47942,0.28072,0.25648,0.15286,1.42015,2.5075,1.3454,0.000562,0.000562,0.000562
145,42187.6,0.83515,0.84257,1.11705,0.48016,0.28065,0.25645,0.15333,1.41956,2.5045,1.34515,0.000496,0.000496,0.000496
146,42471.2,0.82987,0.8348,1.10765,0.4813,0.27733,0.25619,0.15284,1.41876,2.499,1.34489,0.00043,0.00043,0.00043
147,42752,0.83322,0.83582,1.1071,0.47699,0.28039,0.25629,0.15247,1.41934,2.49624,1.34585,0.000364,0.000364,0.000364
148,43037.8,0.8259,0.82783,1.11004,0.47267,0.2771,0.25574,0.15284,1.41889,2.4938,1.34587,0.000298,0.000298,0.000298
149,43319.9,0.81734,0.81169,1.10243,0.47272,0.27731,0.25581,0.15258,1.41961,2.49005,1.3472,0.000232,0.000232,0.000232
150,43605.9,0.82564,0.82233,1.10927,0.47176,0.28096,0.25594,0.153,1.41947,2.48534,1.34755,0.000166,0.000166,0.000166
